n,d,s,Branching,Iter,Time
5,1.0,1,SOS2,5,2.151578187942505
5,1.0,1,CC,5,0.9319119453430176
5,1.0,1,MC,5,0.5207498073577881
5,1.0,1,DCC,5,0.12606477737426758
5,1.0,1,IC,5,0.5996849536895752
5,1.0,2,SOS2,3,0.011999130249023438
5,1.0,2,CC,3,0.009227991104125977
5,1.0,2,MC,3,0.010416030883789062
5,1.0,2,DCC,3,0.010043144226074219
5,1.0,2,IC,4,0.012504816055297852
5,1.0,3,SOS2,4,0.021770000457763672
5,1.0,3,CC,4,0.019263029098510742
5,1.0,3,MC,4,0.018201112747192383
5,1.0,3,DCC,4,0.019728899002075195
5,1.0,3,IC,4,0.015543937683105469
5,1.0,4,SOS2,2,0.00545501708984375
5,1.0,4,CC,2,0.004148006439208984
5,1.0,4,MC,2,0.004260063171386719
5,1.0,4,DCC,2,0.003992795944213867
5,1.0,4,IC,2,0.0033919811248779297
5,1.0,5,SOS2,3,0.01380610466003418
5,1.0,5,CC,3,0.013960838317871094
5,1.0,5,MC,3,0.010644912719726562
5,1.0,5,DCC,3,0.010806798934936523
5,1.0,5,IC,3,0.008368968963623047
10,1.0,1,SOS2,3,0.19908499717712402
10,1.0,1,CC,3,0.051262855529785156
10,1.0,1,MC,4,0.056481122970581055
10,1.0,1,DCC,4,0.10319805145263672
10,1.0,1,IC,4,0.06709790229797363
10,1.0,2,SOS2,7,0.35221195220947266
10,1.0,2,CC,7,0.3674960136413574
10,1.0,2,MC,7,0.23452281951904297
10,1.0,2,DCC,7,0.48442602157592773
10,1.0,2,IC,9,0.2724909782409668
10,1.0,3,SOS2,11,1.7047009468078613
10,1.0,3,CC,11,1.8346800804138184
10,1.0,3,MC,12,1.573206901550293
10,1.0,3,DCC,11,1.8682670593261719
10,1.0,3,IC,13,1.1010239124298096
10,1.0,4,SOS2,6,0.2964470386505127
10,1.0,4,CC,6,0.32920098304748535
10,1.0,4,MC,5,0.1516110897064209
10,1.0,4,DCC,6,0.3253021240234375
10,1.0,4,IC,5,0.11620688438415527
10,1.0,5,SOS2,6,0.40025782585144043
10,1.0,5,CC,6,0.4307441711425781
10,1.0,5,MC,6,0.39237117767333984
10,1.0,5,DCC,6,0.3299999237060547
10,1.0,5,IC,7,0.33417701721191406
15,1.0,1,SOS2,13,9.950825929641724
15,1.0,1,CC,11,6.964366912841797
15,1.0,1,MC,12,10.967650175094604
15,1.0,1,DCC,11,8.405908107757568
15,1.0,1,IC,11,1.6134090423583984
15,1.0,2,SOS2,8,3.10449481010437
15,1.0,2,CC,8,1.8593950271606445
15,1.0,2,MC,7,1.4477729797363281
15,1.0,2,DCC,8,1.7771470546722412
15,1.0,2,IC,8,1.028325080871582
15,1.0,3,SOS2,10,7.683145999908447
15,1.0,3,CC,10,5.0285258293151855
15,1.0,3,MC,12,7.504348993301392
15,1.0,3,DCC,12,12.672465085983276
15,1.0,3,IC,12,2.554288148880005
15,1.0,4,SOS2,9,6.452884197235107
15,1.0,4,CC,9,6.78225302696228
15,1.0,4,MC,10,6.2436981201171875
15,1.0,4,DCC,10,5.554547071456909
15,1.0,4,IC,10,1.782578945159912
15,1.0,5,SOS2,16,12.483153104782104
15,1.0,5,CC,13,8.487085103988647
15,1.0,5,MC,14,14.192227840423584
15,1.0,5,DCC,14,11.293177127838135
15,1.0,5,IC,15,2.0754711627960205
20,1.0,1,SOS2,17,214.4050168991089
20,1.0,1,CC,20,172.55553603172302
20,1.0,1,MC,19,89.81519603729248
20,1.0,1,DCC,18,178.10448479652405
20,1.0,1,IC,17,72.94733095169067
20,1.0,2,SOS2,16,377.35805201530457
20,1.0,2,CC,16,212.38186693191528
20,1.0,2,MC,17,144.49112701416016
20,1.0,2,DCC,18,224.64495491981506
20,1.0,2,IC,17,146.39897990226746
20,1.0,3,SOS2,16,155.27699995040894
20,1.0,3,CC,15,915.3578970432281
20,1.0,3,MC,15,67.94138693809509
20,1.0,3,DCC,14,86.9925799369812
20,1.0,3,IC,15,62.31169605255127
20,1.0,4,SOS2,15,175.44047594070435
20,1.0,4,CC,17,4751.3872311115265
20,1.0,4,MC,16,52.118529081344604
20,1.0,4,DCC,15,118.03862595558167
20,1.0,4,IC,15,80.96326494216919
20,1.0,5,SOS2,14,190.71088004112244
20,1.0,5,CC,17,297.5900688171387
20,1.0,5,MC,14,84.86326789855957
20,1.0,5,DCC,16,170.84404301643372
20,1.0,5,IC,14,88.92542505264282
