n,d,s,Adaptive PWL Iter,Spatial Branch Iter,KKT Branch Iter,Adaptive PWL Time,Spatial Branch Time,KKT Branch Time
5,1.0,1,5,60,8,2.853219985961914,3.81836199760437,5.431089162826538
5,1.0,2,3,68,0,0.011804819107055664,0.010334968566894531,0.004932880401611328
5,1.0,3,4,68,0,0.01974201202392578,0.009498119354248047,0.00606083869934082
5,1.0,4,2,30,0,0.004548072814941406,0.0041561126708984375,0.008287906646728516
5,1.0,5,3,38,0,0.013158082962036133,0.005901813507080078,0.009937047958374023
10,1.0,1,3,2620,4,0.03129005432128906,0.8686308860778809,0.1831669807434082
10,1.0,2,7,1846,12,0.26195406913757324,0.498460054397583,0.3563389778137207
10,1.0,3,11,5876,44,1.8182342052459717,3.880254030227661,1.0081899166107178
10,1.0,4,6,1706,4,0.22660398483276367,0.3995990753173828,0.11415791511535645
10,1.0,5,6,2082,9,0.3401930332183838,0.5686180591583252,0.27303314208984375
15,1.0,1,11,39926,50,8.730021953582764,120.40813207626343,4.349730968475342
15,1.0,2,8,27578,1,2.1210010051727295,40.504852056503296,0.17604708671569824
15,1.0,3,10,34468,18,4.836472034454346,129.907723903656,1.8349881172180176
15,1.0,4,9,35934,50,5.3196752071380615,109.98972702026367,4.6090991497039795
15,1.0,5,13,41498,11,8.92245101928711,136.83168292045593,1.2375011444091797
20,1.0,1,17,75731,66,99.94816493988037,Inf,15.688238143920898
20,1.0,2,16,72876,40,145.85873818397522,Inf,10.143807172775269
20,1.0,3,15,77709,40,72.423593044281,Inf,10.166828870773315
20,1.0,4,14,74640,84,69.74358797073364,Inf,18.100843906402588
20,1.0,5,14,72506,28,106.82167911529541,Inf,8.466909885406494
